character,pinyin,meaning,level,status
我,wǒ,I / me,1,known
你,nǐ,you,1,known
他,tā,he,1,known
她,tā,she,1,known
是,shì,to be,1,known
不,bù,not,1,known
有,yǒu,to have,1,new
这,zhè,this,1,new
那,nà,that,1,new
哪,nǎ,which,1,new
人,rén,person,1,known
大,dà,big,1,known
小,xiǎo,small,1,known
好,hǎo,good,1,known
吃,chī,eat,1,known
喝,hē,drink,1,known
看,kàn,look,1,known
去,qù,go,1,known
来,lái,come,1,known
水,shuǐ,water,1,known
茶,chá,tea,1,known
饭,fàn,meal,1,new
书,shū,book,1,known
家,jiā,home,1,known
在,zài,at / in,1,known
没,méi,not have,1,new
吗,ma,question particle,1,known
呢,ne,question particle,1,new
